name,age,height,games_played,goals,points,penalty_minutes,home_country
Wyatt Johnston,18,6.02,31,20,60,16,Canada
Rory Kerins,19,5.11,34,22,58,12,Canada
Brandon Coe,20,6.05,33,22,57,34,Canada
Matvey Petrov,18,6.02,34,22,55,20,Russia
Lucas Edmonds,20,5.11,29,18,54,8,Canada
Luke Evangelista,19,6.00,25,23,47,16,Canada
Ty Tullio,19,5.11,31,17,47,29,Canada
Brennan Othmann,19,6.00,31,26,46,31,Canada
James Hardie,20,5.11,33,26,45,17,Canada
Luca DelBelBelluz,18,6.01,33,18,45,14,Canada
Logan Morrison,19,6.00,30,15,45,4,Canada
Tye Kartye,20,6.01,33,27,43,35,Canada
Tanner Dickinson,19,6.00,30,15,43,8,United States
Emmett Sproule (total),20,5.11,31,12,43,17,Canada
Tucker Robertson,18,5.10,31,19,42,26,Canada
Mitchell Russell,20,6.00,31,20,41,12,Canada
Sasha Pastujov,18,6.01,28,22,39,15,
Jordan Frasca,20,6.02,27,20,38,20,Canada
George Diaco,19,5.07,31,13,38,2,Canada
Kyle Jackson,19,6.02,23,15,37,14,Canada
Martin Chromiak,19,5.10,27,14,37,8,Slovakia
Ty Voit,18,5.09,28,9,37,8,United States
Will Cuylle,19,6.04,26,22,36,23,Canada
Danil Gushchin,19,5.10,25,21,34,23,Russia
Jan Mysak,19,6.00,27,18,34,4,Czech Rep. 
Matthew Maggio,19,6.00,30,15,34,6,Canada
Cole MacKay,20,5.11,30,13,34,11,Canada
Nolan Burke,19,6.01,29,19,33,10,Canada
Avery Hayes,19,5.10,31,18,33,23,United States
Francesco Arcuri,18,6.02,27,14,33,16,Canada
Francesco Pinelli,18,5.11,28,13,32,10,Canada
Riley Piercey,19,6.03,28,12,32,30,Canada
Sean McGurn,19,5.11,29,7,32,4,Canada
Brandt Clarke,18,6.02,26,6,32,8,Canada
Nolan Dann,18,5.09,29,16,31,23,Canada
J.R. Avon,18,6.00,28,13,31,7,Canada
Shane Wright,18,6.01,25,12,31,12,Canada
Nathan Staios,20,5.10,29,6,31,48,Canada
Brett Harrison,18,6.03,28,16,30,8,Canada
Deni Goure,18,5.10,29,14,30,4,Canada
David Goyette,17,5.11,32,12,30,6,Canada
Ryan Humphrey,18,6.00,31,9,30,41,United States
Cameron Tolnai,19,6.01,34,7,30,13,Canada
Louka Henault,20,5.11,28,5,30,28,Canada
Josh Bloom,18,6.02,31,15,29,10,Canada
Amadeus Lombardi,18,5.10,32,14,29,12,Canada
Owen Beck,17,6.00,33,13,29,2,Canada
Elias Cohen,19,6.00,29,11,29,24,Canada
Declan McDonnell (total),19,5.10,31,11,29,46,United States
Andrew Perrott (total),20,6.00,27,2,29,45,United States
Kyle McDonald (total),19,6.05,28,18,28,17,Canada
Ryan Stepien,20,5.11,30,17,28,13,Canada
Mike Petizian,20,5.06,30,11,28,26,Canada
Oskar Olausson (total),19,6.01,25,13,27,10,Sweden
Robert Calisti,20,5.09,34,12,27,39,Canada
Antonio Stranges,19,5.11,23,8,27,2,United States
Lleyton Moore,19,5.08,31,2,27,20,Canada
Cody Morgan,20,6.00,29,11,26,4,Canada
Daniel D'Amato,20,6.01,25,10,26,11,Canada
Matyas Sapovaliv,17,6.03,31,10,26,12,Czech Rep.
Ethan Cardwell,19,5.11,26,8,26,8,Canada
Ty Nelson,17,5.10,33,5,26,24,Canada
Connor Lockhart,18,5.09,26,12,25,8,United States
Coulson Pitre,17,6.00,27,12,25,11,Canada
Joe Carroll (total),20,6.03,27,11,25,40,Canada
Zakary Lavoie,17,5.11,31,10,25,6,Canada
Daniel D'Amico,20,5.10,30,9,25,12,Canada
Jack Thompson (total),19,6.01,31,8,25,24,Canada
Evan Konyen,17,5.11,33,8,25,8,United States
Cameron Butler (total),19,6.04,27,6,25,28,Canada
Christian Kyrou,18,5.11,30,6,25,8,United States
Joseph Serpa,19,5.10,28,4,25,17,Canada
Gavin White,19,6.00,31,4,25,15,Canada
Vsevolod Gaidamak,18,5.11,29,15,24,14,Russia
Danny Zhilkin,18,6.02,27,10,24,12,Canada
Brett Bressette,18,5.08,28,10,24,4,Canada
Noah Sedore,19,5.09,30,7,24,14,Canada
Ryan O'Rourke,19,6.00,25,4,24,33,Canada
Tyler Deline,19,5.10,32,3,24,27,Canada
Pasquale Zito,18,6.01,26,14,23,22,Canada
Calum Ritchie,16,6.02,28,11,23,6,Canada
Bryce McConnell-Barker,17,6.01,34,11,23,6,Canada
Matthew Poitras,17,5.11,29,10,23,20,Canada
Kocha Delic,17,5.10,33,10,23,12,Canada
Vinzenz Rohrer,17,5.11,30,9,23,6,Austria
Daniil Chayka,19,6.03,29,7,23,16,Russia
Pavel Mintyukov,18,6.02,31,6,23,10,Russia
Ethan Del Mastro,19,6.04,33,4,23,47,Canada
Matthew Papais,19,5.11,29,13,22,19,Canada
Stepan Machacek,19,6.01,29,9,22,30,Czech Rep.
Servac Petrovsky,17,5.11,29,9,22,20,Slovakia
Zacharie Giroux,18,5.06,33,9,22,16,Canada
Nathan Allensen,20,6.00,26,8,22,20,Canada
Evan Vierling,19,6.00,26,8,22,7,Canada
Kirill Kudryavtsev,17,5.11,34,2,22,4,Russia
Ethan Burroughs,18,5.10,29,11,21,15,Canada
Ryan Gagnier,19,6.00,29,11,21,16,Canada
Chase Stillman (total),18,6.01,27,10,21,29,Canada
Dean Loukus,18,5.10,29,9,21,25,United States
Calem Mangone,17,5.08,31,9,21,18,Canada
